player_id,tournament_id,target_date,value_eur,value_date
P-23304,WC-2022,11/20/2022,25000000,2/11/2022
P-23315,WC-2006,6/9/2006,13500000,2/6/2006
P-23705,WC-2010,6/11/2010,28000000,8/7/2008
P-23705,WC-2014,6/12/2014,40000000,12/1/2011
P-24647,WC-2014,6/12/2014,8000000,12/6/2013
P-24705,WC-2018,6/14/2018,40000000,4/10/2018
P-25428,WC-2018,6/14/2018,4500000,4/6/2018
P-25745,WC-2018,6/14/2018,20000000,8/6/2017
P-26380,WC-2014,6/12/2014,1500000,12/1/2011
P-26539,WC-2006,6/9/2006,7000000,4/10/2004
P-26852,WC-2010,6/11/2010,4500000,4/6/2008
P-26943,WC-2018,6/14/2018,1250000,2/6/2018
P-27533,WC-2014,6/12/2014,6500000,9/1/2013
P-27540,WC-2014,6/12/2014,1500000,11/1/2013
P-27557,WC-2006,6/9/2006,3500000,8/2/2005
P-27582,WC-2022,11/20/2022,15000000,11/11/2022
P-28010,WC-2010,6/11/2010,14000000,3/12/2009
P-28010,WC-2014,6/12/2014,42000000,10/1/2013
P-28154,WC-2010,6/11/2010,750000,10/6/2009
P-28154,WC-2014,6/12/2014,23000000,12/1/2011
P-28154,WC-2018,6/14/2018,60000000,5/6/2018
P-28801,WC-2018,6/14/2018,1800000,8/6/2017
P-28832,WC-2010,6/11/2010,10000000,11/7/2008
P-29398,WC-2014,6/12/2014,25000000,12/6/2013
P-29415,WC-2010,6/11/2010,50000000,3/12/2009
P-29415,WC-2014,6/12/2014,15000000,12/6/2013
P-29491,WC-2018,6/14/2018,40000000,1/1/2018
P-29833,WC-2018,6/14/2018,3250000,4/3/2018
P-30014,WC-2014,6/12/2014,26000000,12/6/2013
P-30116,WC-2010,6/11/2010,8500000,1/8/2010
P-30316,WC-2018,6/14/2018,55000000,5/6/2018
P-30381,WC-2010,6/11/2010,12500000,3/2/2010
P-30711,WC-2018,6/14/2018,25000000,2/1/2018
P-30711,WC-2022,11/20/2022,7000000,3/11/2022
P-30891,WC-2010,6/11/2010,4000000,9/6/2009
P-30935,WC-2010,6/11/2010,1000000,4/3/2010
P-30993,WC-2018,6/14/2018,7500000,5/6/2018
P-31431,WC-2018,6/14/2018,25000000,2/1/2018
P-32136,WC-2006,6/9/2006,3200000,7/10/2005
P-32431,WC-2022,11/20/2022,25000000,2/11/2022
P-32798,WC-2014,6/12/2014,40000000,1/8/2014
P-33312,WC-2010,6/11/2010,12500000,4/2/2008
P-33312,WC-2014,6/12/2014,4500000,2/2/2013
P-33360,WC-2010,6/11/2010,2200000,4/6/2008
P-33570,WC-2014,6/12/2014,2000000,10/8/2012
P-33751,WC-2006,6/9/2006,5000000,11/8/2005
P-34018,WC-2018,6/14/2018,200000,3/12/2015
P-34530,WC-2010,6/11/2010,12000000,4/7/2008
P-34998,WC-2018,6/14/2018,4000000,6/6/2018
P-35157,WC-2014,6/12/2014,12000000,12/6/2013
P-35173,WC-2022,11/20/2022,11000000,8/6/2022
P-35264,WC-2006,6/9/2006,8000000,7/8/2005
P-35837,WC-2014,6/12/2014,700000,4/1/2013
P-36196,WC-2014,6/12/2014,750000,11/7/2013
P-36287,WC-2006,6/9/2006,14000000,7/8/2005
P-36287,WC-2010,6/11/2010,14000000,3/7/2008
P-36287,WC-2014,6/12/2014,23000000,2/7/2013
P-36515,WC-2018,6/14/2018,18000000,2/1/2018
P-36808,WC-2014,6/12/2014,6000000,11/1/2012
P-36850,WC-2010,6/11/2010,9000000,1/8/2010
P-36870,WC-2014,6/12/2014,40000000,2/7/2013
P-37126,WC-2006,6/9/2006,5000000,4/10/2004
P-37133,WC-2010,6/11/2010,2300000,6/10/2009
P-37239,WC-2014,6/12/2014,28000000,2/7/2013
P-37275,WC-2014,6/12/2014,2500000,11/7/2013
P-37294,WC-2014,6/12/2014,14000000,12/6/2013
P-37314,WC-2022,11/20/2022,35000000,7/11/2022
P-37612,WC-2018,6/14/2018,650000,5/1/2018
P-37678,WC-2010,6/11/2010,18500000,2/8/2010
P-37848,WC-2010,6/11/2010,18500000,2/8/2010
P-37913,WC-2010,6/11/2010,600000,2/11/2009
P-38424,WC-2014,6/12/2014,3500000,2/1/2014
P-38647,WC-2014,6/12/2014,8000000,9/1/2013
P-39356,WC-2014,6/12/2014,12000000,12/1/2011
P-39356,WC-2018,6/14/2018,80000000,1/1/2018
P-39810,WC-2014,6/12/2014,3000000,12/6/2013
P-40197,WC-2010,6/11/2010,12000000,4/6/2008
P-40312,WC-2018,6/14/2018,5000000,1/1/2018
P-41001,WC-2014,6/12/2014,20000000,11/1/2012
P-41357,WC-2010,6/11/2010,4500000,6/8/2009
P-41758,WC-2014,6/12/2014,12000000,5/1/2012
P-42038,WC-2006,6/9/2006,37000000,2/4/2006
P-42113,WC-2014,6/12/2014,65000000,5/10/2014
P-42113,WC-2022,11/20/2022,10000000,11/11/2022
P-42177,WC-2014,6/12/2014,12000000,3/11/2014
P-42227,WC-2006,6/9/2006,28000000,4/10/2004
P-42227,WC-2010,6/11/2010,3000000,2/8/2010
P-42326,WC-2018,6/14/2018,40000000,1/1/2018
P-42326,WC-2022,11/20/2022,40000000,3/11/2022
P-42911,WC-2018,6/14/2018,16500000,1/7/2015
P-43400,WC-2006,6/9/2006,4000000,4/1/2005
P-43400,WC-2010,6/11/2010,12000000,3/7/2008
P-43400,WC-2014,6/12/2014,40000000,12/1/2011
P-43410,WC-2014,6/12/2014,15000000,12/1/2011
P-43481,WC-2006,6/9/2006,8000000,4/8/2005
P-43481,WC-2010,6/11/2010,7000000,4/6/2008
P-44334,WC-2014,6/12/2014,10000000,2/7/2013
P-44396,WC-2010,6/11/2010,3500000,6/8/2009
P-44463,WC-2018,6/14/2018,10000000,5/6/2018
P-44926,WC-2014,6/12/2014,7000000,6/2/2012
P-46506,WC-2018,6/14/2018,1300000,4/1/2016
P-46895,WC-2010,6/11/2010,5000000,4/2/2008
P-47246,WC-2010,6/11/2010,3500000,9/2/2008
P-47255,WC-2010,6/11/2010,50000,5/11/2007
P-47324,WC-2010,6/11/2010,6500000,7/9/2008
P-47440,WC-2018,6/14/2018,3500000,5/6/2018
P-47753,WC-2010,6/11/2010,10000000,3/12/2009
P-47906,WC-2018,6/14/2018,20000000,4/6/2018
P-48433,WC-2018,6/14/2018,7000000,2/1/2018
P-48645,WC-2006,6/9/2006,20000000,4/10/2004
P-48645,WC-2010,6/11/2010,19000000,2/8/2010
P-48737,WC-2018,6/14/2018,38000000,5/6/2018
P-48955,WC-2018,6/14/2018,110000000,2/1/2018
P-49014,WC-2014,6/12/2014,15000000,2/7/2013
P-49097,WC-2010,6/11/2010,45000000,3/12/2009
P-49097,WC-2014,6/12/2014,12000000,12/6/2013
P-49114,WC-2022,11/20/2022,4500000,10/3/2022
P-50109,WC-2010,6/11/2010,900000,6/9/2010
P-50326,WC-2006,6/9/2006,6000000,2/6/2006
P-50326,WC-2010,6/11/2010,9500000,10/6/2009
P-50663,WC-2014,6/12/2014,20000000,9/8/2013
P-50699,WC-2010,6/11/2010,4500000,10/6/2009
P-51089,WC-2010,6/11/2010,28000000,3/12/2009
P-51100,WC-2010,6/11/2010,15500000,3/2/2009
P-51201,WC-2018,6/14/2018,30000000,2/1/2018
P-51287,WC-2006,6/9/2006,8000000,2/6/2006
P-51336,WC-2010,6/11/2010,45000000,2/8/2010
P-51336,WC-2014,6/12/2014,38000000,11/1/2012
P-51395,WC-2006,6/9/2006,45000000,4/10/2004
P-51894,WC-2014,6/12/2014,5000000,11/1/2013
P-52319,WC-2014,6/12/2014,300000,11/6/2012
P-53028,WC-2010,6/11/2010,2400000,6/10/2009
P-53048,WC-2018,6/14/2018,18000000,5/6/2018
P-53668,WC-2010,6/11/2010,7000000,5/3/2008
P-53668,WC-2014,6/12/2014,17000000,6/2/2012
P-54013,WC-2014,6/12/2014,12000000,5/12/2012
P-54036,WC-2014,6/12/2014,10000000,12/1/2011
P-54461,WC-2018,6/14/2018,40000000,5/6/2018
P-54517,WC-2022,11/20/2022,80000000,7/11/2022
P-54694,WC-2010,6/11/2010,8000000,6/8/2009
P-55404,WC-2010,6/11/2010,2500000,10/6/2009
P-55511,WC-2006,6/9/2006,33000000,4/10/2004
P-55659,WC-2006,6/9/2006,8500000,2/11/2005
P-55991,WC-2006,6/9/2006,4500000,2/11/2005
P-56297,WC-2018,6/14/2018,17000000,2/1/2018
P-56330,WC-2010,6/11/2010,34000000,10/7/2008
P-56330,WC-2014,6/12/2014,70000000,10/1/2013
P-56430,WC-2006,6/9/2006,25000000,4/10/2004
P-56947,WC-2006,6/9/2006,5000000,4/10/2004
P-57058,WC-2010,6/11/2010,1250000,10/6/2009
P-57401,WC-2022,11/20/2022,18000000,11/11/2022
P-57529,WC-2006,6/9/2006,13500000,2/4/2006
P-57606,WC-2010,6/11/2010,8500000,11/1/2008
P-57922,WC-2018,6/14/2018,15000000,6/9/2018
P-57948,WC-2010,6/11/2010,50000,6/8/2009
P-58692,WC-2018,6/14/2018,4000000,2/1/2018
P-60159,WC-2014,6/12/2014,350000,11/6/2012
P-60304,WC-2010,6/11/2010,200000,10/10/2009
P-60541,WC-2014,6/12/2014,4000000,1/1/2012
P-60652,WC-2018,6/14/2018,30000000,5/6/2018
P-60652,WC-2022,11/20/2022,35000000,9/11/2022
P-60716,WC-2014,6/12/2014,18000000,2/7/2013
P-61051,WC-2014,6/12/2014,20000000,2/7/2013
P-61793,WC-2010,6/11/2010,32000000,3/12/2009
P-61793,WC-2014,6/12/2014,30000000,12/6/2013
P-62029,WC-2014,6/12/2014,8000000,11/1/2013
P-62162,WC-2018,6/14/2018,15000000,5/6/2018
P-62621,WC-2014,6/12/2014,30000000,10/2/2013
P-63023,WC-2010,6/11/2010,1500000,10/6/2009
P-63363,WC-2018,6/14/2018,12000000,2/1/2018
P-63673,WC-2014,6/12/2014,9000000,12/1/2011
P-64049,WC-2018,6/14/2018,28000000,2/1/2018
P-64077,WC-2018,6/14/2018,120000000,4/6/2018
P-64077,WC-2022,11/20/2022,160000000,2/11/2022
P-64102,WC-2010,6/11/2010,28000000,3/12/2009
P-64102,WC-2014,6/12/2014,40000000,2/7/2013
P-64348,WC-2010,6/11/2010,20000000,3/12/2009
P-64348,WC-2014,6/12/2014,36000000,12/6/2013
P-64718,WC-2018,6/14/2018,1500000,2/1/2018
P-65146,WC-2018,6/14/2018,5000000,5/6/2018
P-65182,WC-2018,6/14/2018,27000000,5/6/2018
P-65425,WC-2018,6/14/2018,20000000,1/1/2018
P-65631,WC-2014,6/12/2014,1500000,5/12/2012
P-65802,WC-2006,6/9/2006,18000000,2/4/2006
P-65802,WC-2010,6/11/2010,30000000,7/4/2008
P-65979,WC-2018,6/14/2018,45000000,1/1/2018
P-66615,WC-2006,6/9/2006,3500000,4/10/2004
P-67297,WC-2018,6/14/2018,40000000,1/1/2018
P-68042,WC-2018,6/14/2018,10000000,1/1/2018
P-68125,WC-2010,6/11/2010,15000000,3/12/2009
P-68395,WC-2014,6/12/2014,2500000,9/1/2013
P-68803,WC-2006,6/9/2006,9500000,8/2/2005
P-68929,WC-2010,6/11/2010,2500000,6/5/2010
P-69019,WC-2014,6/12/2014,9000000,2/7/2013
P-69284,WC-2010,6/11/2010,25000000,3/12/2009
P-69329,WC-2014,6/12/2014,4500000,9/1/2013
P-69451,WC-2018,6/14/2018,30000000,1/1/2018
P-69606,WC-2014,6/12/2014,5000000,11/1/2012
P-69700,WC-2010,6/11/2010,8500000,10/6/2009
P-69785,WC-2018,6/14/2018,15000000,5/6/2018
P-69919,WC-2018,6/14/2018,12000000,2/1/2018
P-69953,WC-2014,6/12/2014,20000000,1/8/2014
P-70280,WC-2014,6/12/2014,5000000,9/1/2013
P-70547,WC-2018,6/14/2018,35000000,2/1/2018
P-70650,WC-2014,6/12/2014,25000000,12/6/2013
P-71343,WC-2022,11/20/2022,32000000,3/11/2022
P-71661,WC-2010,6/11/2010,40000000,4/7/2008
P-71661,WC-2014,6/12/2014,23000000,2/7/2013
P-72011,WC-2018,6/14/2018,100000000,2/1/2018
P-72244,WC-2014,6/12/2014,8000000,5/10/2014
P-72637,WC-2018,6/14/2018,85000000,2/1/2018
P-73306,WC-2018,6/14/2018,23000000,4/6/2018
P-73712,WC-2022,11/20/2022,14000000,7/11/2022
P-73834,WC-2018,6/14/2018,17000000,3/6/2018
P-73924,WC-2010,6/11/2010,30000000,6/8/2009
P-73924,WC-2014,6/12/2014,18000000,12/6/2013
P-73975,WC-2010,6/11/2010,15500000,3/2/2009
P-74337,WC-2018,6/14/2018,22000000,5/6/2018
P-74494,WC-2014,6/12/2014,2250000,5/1/2013
P-74946,WC-2018,6/14/2018,3500000,9/2/2016
P-75191,WC-2010,6/11/2010,650000,6/2/2010
P-75306,WC-2010,6/11/2010,13000000,1/8/2010
P-76750,WC-2018,6/14/2018,2000000,4/8/2016
P-77063,WC-2014,6/12/2014,20000000,12/6/2013
P-77068,WC-2014,6/12/2014,800000,1/1/2012
P-77118,WC-2018,6/14/2018,15000000,5/6/2018
P-77335,WC-2018,6/14/2018,35000000,2/1/2018
P-77789,WC-2018,6/14/2018,11000000,8/6/2017
P-78418,WC-2010,6/11/2010,6000000,3/12/2009
P-78418,WC-2014,6/12/2014,22000000,12/6/2013
P-78477,WC-2018,6/14/2018,8000000,6/6/2018
P-78484,WC-2022,11/20/2022,60000000,7/11/2022
P-78654,WC-2010,6/11/2010,3000000,6/5/2010
P-78836,WC-2010,6/11/2010,3500000,2/1/2010
P-79215,WC-2018,6/14/2018,20000000,8/6/2017
P-79409,WC-2018,6/14/2018,40000000,5/6/2018
P-79650,WC-2022,11/20/2022,55000000,3/11/2022
P-80088,WC-2018,6/14/2018,300000,4/8/2016
P-80826,WC-2018,6/14/2018,3000000,3/6/2018
P-80996,WC-2022,11/20/2022,50000000,7/11/2022
P-81067,WC-2014,6/12/2014,200000,12/1/2013
P-81447,WC-2014,6/12/2014,13000000,12/1/2011
P-81447,WC-2018,6/14/2018,60000000,5/6/2018
P-81505,WC-2022,11/20/2022,75000000,11/11/2022
P-82458,WC-2010,6/11/2010,800000,5/5/2010
P-82967,WC-2018,6/14/2018,5500000,6/6/2018
P-83836,WC-2006,6/9/2006,22000000,4/10/2004
P-83904,WC-2010,6/11/2010,2800000,3/7/2009
P-84003,WC-2006,6/9/2006,35000000,8/12/2005
P-84412,WC-2014,6/12/2014,1500000,4/6/2013
P-84424,WC-2018,6/14/2018,20000000,1/1/2018
P-84424,WC-2022,11/20/2022,50000000,9/11/2022
P-84430,WC-2022,11/20/2022,18000000,7/11/2022
P-84486,WC-2014,6/12/2014,400000,9/8/2012
P-84524,WC-2010,6/11/2010,300000,8/1/2009
P-84852,WC-2018,6/14/2018,28000000,8/6/2017
P-85046,WC-2010,6/11/2010,450000,6/9/2009
P-85472,WC-2018,6/14/2018,2000000,4/3/2018
P-85698,WC-2014,6/12/2014,6500000,11/1/2013
P-86004,WC-2018,6/14/2018,4500000,8/6/2017
P-86499,WC-2014,6/12/2014,27000000,2/7/2013
P-86524,WC-2014,6/12/2014,48000000,3/3/2014
P-86920,WC-2022,11/20/2022,35000000,3/11/2022
P-87008,WC-2014,6/12/2014,40000000,8/8/2012
P-87449,WC-2014,6/12/2014,30000000,1/8/2014
P-88680,WC-2010,6/11/2010,2600000,11/8/2009
P-88863,WC-2006,6/9/2006,12000000,4/10/2004
P-88863,WC-2010,6/11/2010,6500000,6/8/2009
P-89113,WC-2018,6/14/2018,6500000,3/6/2018
P-89177,WC-2010,6/11/2010,27000000,3/12/2009
P-89177,WC-2014,6/12/2014,40000000,12/6/2013
P-89420,WC-2018,6/14/2018,3000000,6/8/2018
P-89601,WC-2014,6/12/2014,10000000,5/10/2014
P-89750,WC-2018,6/14/2018,20000000,2/1/2018
P-89750,WC-2022,11/20/2022,4000000,11/11/2022
P-90145,WC-2010,6/11/2010,750000,10/10/2009
P-90908,WC-2018,6/14/2018,100000000,1/1/2018
P-90908,WC-2022,11/20/2022,25000000,7/11/2022
P-90951,WC-2010,6/11/2010,1000000,1/2/2010
P-91294,WC-2018,6/14/2018,9000000,3/1/2017
P-91324,WC-2022,11/20/2022,25000000,2/11/2022
P-91431,WC-2022,11/20/2022,12000000,7/11/2022
P-91889,WC-2018,6/14/2018,1250000,2/2/2012
P-92626,WC-2014,6/12/2014,3250000,2/6/2013
P-92866,WC-2018,6/14/2018,5000000,1/1/2018
P-92874,WC-2010,6/11/2010,25000000,2/8/2010
P-92987,WC-2022,11/20/2022,30000000,9/11/2022
P-93048,WC-2006,6/9/2006,12500000,9/2/2005
P-93449,WC-2010,6/11/2010,5000000,2/12/2008
P-93567,WC-2014,6/12/2014,600000,4/2/2012
P-93619,WC-2014,6/12/2014,6000000,12/1/2011
P-93667,WC-2014,6/12/2014,9000000,2/7/2013
P-93884,WC-2018,6/14/2018,30000000,8/6/2017
P-93920,WC-2018,6/14/2018,1000000,4/10/2016
P-94060,WC-2010,6/11/2010,1600000,6/4/2010
P-94202,WC-2014,6/12/2014,2500000,5/8/2014
P-94304,WC-2006,6/9/2006,2000000,2/6/2006
P-94447,WC-2018,6/14/2018,35000000,5/6/2018
P-94551,WC-2014,6/12/2014,4000000,2/7/2013
P-95269,WC-2018,6/14/2018,10000000,2/1/2018
P-95458,WC-2010,6/11/2010,500000,6/9/2009
P-95590,WC-2014,6/12/2014,800000,4/11/2014
P-96131,WC-2010,6/11/2010,2500000,4/10/2004
P-96512,WC-2006,6/9/2006,27000000,2/4/2006
P-96540,WC-2006,6/9/2006,35000000,4/10/2004
P-96639,WC-2014,6/12/2014,18000000,2/7/2013
P-97778,WC-2018,6/14/2018,80000000,1/1/2018
P-97778,WC-2022,11/20/2022,60000000,7/11/2022
P-98074,WC-2014,6/12/2014,30000000,2/7/2013
P-98287,WC-2018,6/14/2018,60000000,2/1/2018
P-98511,WC-2006,6/9/2006,3150000,7/1/2005
P-99473,WC-2006,6/9/2006,5000000,4/10/2004
P-99537,WC-2006,6/9/2006,20000000,4/10/2004
P-99934,WC-2010,6/11/2010,16000000,4/2/2008
P-99934,WC-2014,6/12/2014,45000000,2/7/2013
